IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
230,54,25,409,54,3590930900ns,5800ns,79,54,19.32%,100.00%,21900ns,409,54,100.00%,100.00%,27700ns,409,54,100.00%,100.00%
231,54,25,393,51,3602032100ns,6100ns,78,52,19.85%,101.96%,4900ns,393,51,100.00%,100.00%,11000ns,393,51,100.00%,100.00%
232,54,25,509,54,3660442400ns,6200ns,100,54,19.65%,100.00%,4900ns,509,54,100.00%,100.00%,11100ns,509,54,100.00%,100.00%
233,54,25,320,54,3592513700ns,6300ns,67,53,20.94%,98.15%,4600ns,320,54,100.00%,100.00%,10900ns,320,54,100.00%,100.00%
234,54,25,397,54,3582216900ns,25500ns,48,52,12.09%,96.30%,11200ns,396,53,99.75%,98.15%,36700ns,396,53,99.75%,98.15%
235,54,25,366,54,3616317000ns,6200ns,72,51,19.67%,94.44%,4900ns,358,51,97.81%,94.44%,11100ns,358,51,97.81%,94.44%
236,54,25,401,52,3598867500ns,6600ns,53,53,13.22%,101.92%,4700ns,401,52,100.00%,100.00%,11300ns,401,52,100.00%,100.00%
237,54,25,313,53,3595817600ns,6600ns,74,53,23.64%,100.00%,4700ns,312,52,99.68%,98.11%,11300ns,312,52,99.68%,98.11%
238,54,25,434,54,3653728400ns,6000ns,118,53,27.19%,98.15%,4600ns,431,53,99.31%,98.15%,10600ns,431,53,99.31%,98.15%
239,54,25,371,53,3580874300ns,4800ns,44,54,11.86%,101.89%,4700ns,371,53,100.00%,100.00%,9500ns,371,53,100.00%,100.00%
240,54,25,367,54,3607490800ns,6300ns,83,54,22.62%,100.00%,4700ns,353,51,96.19%,94.44%,11000ns,353,51,96.19%,94.44%
241,54,25,411,53,3623804100ns,6100ns,80,53,19.46%,100.00%,4600ns,406,52,98.78%,98.11%,10700ns,406,52,98.78%,98.11%
242,54,25,519,54,3606552500ns,6400ns,165,53,31.79%,98.15%,4800ns,519,54,100.00%,100.00%,11200ns,519,54,100.00%,100.00%
243,54,25,340,54,3594819300ns,5900ns,33,52,9.71%,96.30%,4900ns,339,53,99.71%,98.15%,10800ns,339,53,99.71%,98.15%
244,54,25,400,54,3600892300ns,5700ns,53,51,13.25%,94.44%,4600ns,394,52,98.50%,96.30%,10300ns,394,52,98.50%,96.30%
245,54,25,399,54,3599090600ns,6600ns,77,52,19.30%,96.30%,4700ns,391,54,97.99%,100.00%,11300ns,391,54,97.99%,100.00%
246,54,25,403,54,3686152400ns,6100ns,67,54,16.63%,100.00%,7800ns,400,52,99.26%,96.30%,13900ns,400,52,99.26%,96.30%
247,54,25,481,54,3622262500ns,5800ns,105,53,21.83%,98.15%,4800ns,481,54,100.00%,100.00%,10600ns,481,54,100.00%,100.00%
248,54,25,499,54,3627992000ns,5600ns,81,54,16.23%,100.00%,5000ns,494,53,99.00%,98.15%,10600ns,494,53,99.00%,98.15%
249,54,25,371,54,3620463000ns,6200ns,104,53,28.03%,98.15%,4700ns,362,51,97.57%,94.44%,10900ns,362,51,97.57%,94.44%
250,54,25,456,54,3645992800ns,5000ns,116,54,25.44%,100.00%,4600ns,452,53,99.12%,98.15%,9600ns,452,53,99.12%,98.15%
251,54,25,390,54,3592875000ns,8800ns,93,54,23.85%,100.00%,5700ns,381,54,97.69%,100.00%,14500ns,381,54,97.69%,100.00%
252,54,25,449,54,3612387300ns,5200ns,42,53,9.35%,98.15%,4400ns,446,51,99.33%,94.44%,9600ns,446,51,99.33%,94.44%
253,54,25,468,54,3598325400ns,5300ns,69,52,14.74%,96.30%,4400ns,461,52,98.50%,96.30%,9700ns,461,52,98.50%,96.30%
254,54,25,423,54,3673004500ns,5100ns,89,51,21.04%,94.44%,4700ns,418,53,98.82%,98.15%,9800ns,418,53,98.82%,98.15%
255,54,25,381,54,3580329800ns,5700ns,88,51,23.10%,94.44%,4600ns,381,54,100.00%,100.00%,10300ns,381,54,100.00%,100.00%
256,54,25,402,54,3591174000ns,6000ns,105,53,26.12%,98.15%,4700ns,395,52,98.26%,96.30%,10700ns,395,52,98.26%,96.30%
257,54,25,436,54,3621796900ns,5000ns,87,53,19.95%,98.15%,4500ns,430,51,98.62%,94.44%,9500ns,430,51,98.62%,94.44%
258,54,25,368,53,3660887000ns,6100ns,23,51,6.25%,96.23%,4700ns,368,53,100.00%,100.00%,10800ns,368,53,100.00%,100.00%
259,54,25,389,54,3582896000ns,5900ns,135,54,34.70%,100.00%,5100ns,389,54,100.00%,100.00%,11000ns,389,54,100.00%,100.00%
260,54,25,317,54,3607135400ns,4800ns,98,52,30.91%,96.30%,4600ns,302,50,95.27%,92.59%,9400ns,302,50,95.27%,92.59%
261,54,25,426,54,3614193900ns,8100ns,119,54,27.93%,100.00%,6200ns,424,53,99.53%,98.15%,14300ns,424,53,99.53%,98.15%
262,54,25,409,53,3647758200ns,6700ns,144,53,35.21%,100.00%,4600ns,406,54,99.27%,101.89%,11300ns,406,54,99.27%,101.89%
263,54,25,425,54,3640549300ns,6300ns,141,54,33.18%,100.00%,4800ns,425,54,100.00%,100.00%,11100ns,425,54,100.00%,100.00%
264,54,25,345,54,3616235100ns,10000ns,138,51,40.00%,94.44%,6900ns,345,54,100.00%,100.00%,16900ns,345,54,100.00%,100.00%
265,54,25,451,53,3623641700ns,6400ns,141,53,31.26%,100.00%,5300ns,448,52,99.33%,98.11%,11700ns,448,52,99.33%,98.11%
266,54,25,481,53,3624486800ns,6400ns,109,53,22.66%,100.00%,4300ns,471,50,97.92%,94.34%,10700ns,471,50,97.92%,94.34%
267,54,25,414,54,3591465800ns,6400ns,166,54,40.10%,100.00%,4600ns,414,54,100.00%,100.00%,11000ns,414,54,100.00%,100.00%
268,54,25,389,54,3600935500ns,6500ns,96,52,24.68%,96.30%,4900ns,382,52,98.20%,96.30%,11400ns,382,52,98.20%,96.30%
269,54,25,478,54,3609950200ns,5800ns,147,53,30.75%,98.15%,4900ns,475,53,99.37%,98.15%,10700ns,475,53,99.37%,98.15%
270,54,25,245,51,3583966400ns,5800ns,58,54,23.67%,105.88%,5200ns,244,50,99.59%,98.04%,11000ns,244,50,99.59%,98.04%
271,54,25,397,54,3609543300ns,6100ns,95,51,23.93%,94.44%,4700ns,397,54,100.00%,100.00%,10800ns,397,54,100.00%,100.00%
272,54,25,415,54,3618119300ns,6600ns,94,52,22.65%,96.30%,4600ns,415,54,100.00%,100.00%,11200ns,415,54,100.00%,100.00%
273,54,25,431,54,3599588100ns,6900ns,54,52,12.53%,96.30%,5100ns,426,52,98.84%,96.30%,12000ns,426,52,98.84%,96.30%
274,54,25,407,54,3654902900ns,6500ns,84,52,20.64%,96.30%,5600ns,407,54,100.00%,100.00%,12100ns,407,54,100.00%,100.00%
275,54,25,445,54,3618750600ns,6200ns,102,53,22.92%,98.15%,5200ns,425,50,95.51%,92.59%,11400ns,425,50,95.51%,92.59%
276,54,25,373,54,3655709800ns,6400ns,169,51,45.31%,94.44%,4900ns,353,50,94.64%,92.59%,11300ns,353,50,94.64%,92.59%
277,54,25,418,54,3565237900ns,6600ns,70,52,16.75%,96.30%,5500ns,413,53,98.80%,98.15%,12100ns,413,53,98.80%,98.15%
278,54,25,393,53,3630233800ns,5900ns,74,51,18.83%,96.23%,5800ns,393,53,100.00%,100.00%,11700ns,393,53,100.00%,100.00%
279,54,25,352,54,3618729500ns,6400ns,53,54,15.06%,100.00%,4500ns,350,53,99.43%,98.15%,10900ns,350,53,99.43%,98.15%
280,54,25,460,54,3606056000ns,6800ns,126,54,27.39%,100.00%,4900ns,460,54,100.00%,100.00%,11700ns,460,54,100.00%,100.00%
281,54,25,438,54,3602270400ns,6200ns,89,53,20.32%,98.15%,4400ns,438,52,100.00%,96.30%,10600ns,438,52,100.00%,96.30%
282,54,25,437,54,3696319400ns,6600ns,122,53,27.92%,98.15%,4700ns,416,50,95.19%,92.59%,11300ns,416,50,95.19%,92.59%
283,54,25,354,53,3621311300ns,6900ns,84,54,23.73%,101.89%,4700ns,351,52,99.15%,98.11%,11600ns,351,52,99.15%,98.11%
284,54,25,401,53,3590259800ns,6400ns,68,52,16.96%,98.11%,4600ns,401,53,100.00%,100.00%,11000ns,401,53,100.00%,100.00%
285,54,25,428,54,3611482800ns,5900ns,116,53,27.10%,98.15%,5100ns,428,54,100.00%,100.00%,11000ns,428,54,100.00%,100.00%
